"IterationNo","AUC_at_Value_0.1","AUC_at_0.5","AUC_ratio"
0,0.69226220290129,0.499766639157577,1.38517089509654
1,0.831286207059491,0.499974071017509,1.66265863621232
2,0.755564428483674,0.499974071017509,1.51120722509871
3,0.714495109389028,0.499766639157577,1.42965747092164
4,0.63399990549544,0.499766639157577,1.26859189033532
5,0.659538345225157,0.499941659789394,1.3192306188346
6,0.849362566743845,0.499766639157577,1.69951833554868
7,0.669656475924963,0.499766639157577,1.33993833012495
8,0.665661295657516,0.499766639157577,1.33194423857418
9,0.638927845768558,0.499766639157577,1.27845237298263
10,0.811620280678543,0.499974071017509,1.6233247436748
11,0.838764825402826,0.499941659789394,1.67772540851299
12,0.663379010537258,0.499941659789394,1.32691284582428
13,0.591643434295705,0.499766639157577,1.18383939210708
14,0.809201908992109,0.499766639157577,1.61915951484102
15,0.593287341114209,0.499941659789394,1.18671314841843
16,0.728775693427208,0.499766639157577,1.45823197533884
17,0.747313944147805,0.499985414947349,1.49467148802031
18,0.743647876010017,0.499766639157577,1.4879902293269
19,0.722324812172187,0.499766639157577,1.44532418848477
20,0.558486509474082,0.499766639157577,1.11749457790037
21,0.796970656334168,0.499766639157577,1.59468558701231
22,0.658260171053253,0.499941659789394,1.31667397218018
23,0.731569720739026,0.499941659789394,1.46331018112635
24,0.732565326276993,0.499941659789394,1.46530162456474
25,0.69112791192175,0.499766639157577,1.38290125384667
26,0.686677219675849,0.499941659789394,1.37351470162562
27,0.655623493833578,0.499941659789394,1.31140000237181
28,0.569528894769173,0.499766639157577,1.13958966074484
29,0.715672636204697,0.499766639157577,1.43201362422081
30,0.7496952227945,0.499941659789394,1.49956541551332
31,0.59752445305486,0.499766639157577,1.19560692178667
32,0.753284978500213,0.499941659789394,1.50674576473091
33,0.621201625478429,0.499766639157577,1.24298337825339
34,0.807434201200208,0.499974071017509,1.61495215053249
35,0.764255540329821,0.499766639157577,1.52922480303622
36,0.7557317015546,0.499941659789394,1.51163978187567
37,0.645952842224637,0.499766639157577,1.29250892639308
38,0.738320653971554,0.499766639157577,1.47733081026795
39,0.597125171289515,0.499766639157577,1.19480798537503
40,0.665764778150546,0.499941659789394,1.33168493786056
41,0.640077966261872,0.499766639157577,1.2807536880429
42,0.77846335585692,0.499974071017509,1.55700745495192
43,0.606515616878514,0.499766639157577,1.21359764609514
44,0.696775976940887,0.499941659789394,1.39371457308521
45,0.62423758446345,0.499766639157577,1.24905813144248
46,0.729230260360062,0.499974071017509,1.4585361574371
47,0.802118792231725,0.499941659789394,1.60442478942368
48,0.819614421395832,0.499766639157577,1.63999426367755
49,0.637795208618816,0.499974071017509,1.27565657019138
50,0.791733686150357,0.499941659789394,1.58365215350104
51,0.730816046874262,0.499766639157577,1.46231458767666
52,0.791566413079431,0.499974071017509,1.58321492846318
53,0.641755422199121,0.499766639157577,1.28411016645866
54,0.709013372395218,0.499766639157577,1.41868887765369
55,0.633315219959363,0.499974071017509,1.26669612820219
56,0.580056230213108,0.499941659789394,1.16024783863274
57,0.543811368898549,0.499766639157577,1.0881305919403
58,0.801084912347021,0.499974071017509,1.60225291426956
59,0.721925530406842,0.499766639157577,1.44452525207313
60,0.74082927751264,0.499766639157577,1.48235040010155
61,0.585771393469735,0.499941659789394,1.17167949899694
62,0.708771440722015,0.499941659789394,1.41770830024566
63,0.550165855502528,0.499766639157577,1.10084549947132
64,0.722921135944809,0.499766639157577,1.4465173929244
65,0.682861125549308,0.499766639157577,1.36635996092168
66,0.727350092141946,0.499941659789394,1.4548699391212
67,0.580580730520248,0.499766639157577,1.16170365332687
68,0.783459811935926,0.499941659789394,1.56710247404861
69,0.679046921513963,0.499766639157577,1.35872799084506
70,0.548419411236592,0.499766639157577,1.09735097997142
71,0.672692434909984,0.499766639157577,1.34601308331404
72,0.722703775457166,0.499766639157577,1.44608246896067
73,0.685869678211974,0.499766639157577,1.37237987587186
74,0.741979398005954,0.499766639157577,1.48465171516182
75,0.548291357558002,0.499766639157577,1.09709475302757
76,0.708614090629873,0.499766639157577,1.41788994124205
77,0.76028682133913,0.499766639157577,1.5212836587506
78,0.70448187875065,0.499766639157577,1.40962165849675
79,0.670841090582621,0.499941659789394,1.34183874747549
80,0.741383074233332,0.499766639157577,1.48345851072219
81,0.594062751027737,0.499766639157577,1.1886802849208
82,0.588208193545339,0.499766639157577,1.17696570250636
83,0.671890563719699,0.499941659789394,1.34393793868417
84,0.831488919340358,0.499941659789394,1.66317189827835
85,0.630013703161178,0.499941659789394,1.26017444400728
86,0.815374474318386,0.499766639157577,1.63151040992414
87,0.737262675424089,0.499941659789394,1.47469741916421
88,0.744677266928129,0.499985414947349,1.48939797975217
89,0.558683551481359,0.499766639157577,1.11788884592836
90,0.90544488021547,0.499941659789394,1.81110108046787
91,0.642717478618343,0.499941659789394,1.2855849598313
92,0.660531115626329,0.499766639157577,1.32167908754322
93,0.646831734631196,0.499766639157577,1.29426753198556
94,0.805554032982091,0.499941659789394,1.61129607266864
95,0.620822662193451,0.499766639157577,1.24222509777749
96,0.798701979870529,0.499766639157577,1.59814985093212
97,0.711459150404007,0.499766639157577,1.42358271773255
98,0.761790861409063,0.499974071017509,1.52366073676326
99,0.739681992156122,0.499941659789394,1.47953661726794
100,0.76797547606672,0.499985414947349,1.53599575729143
101,0.595084817842461,0.499766639157577,1.19072537303721
102,0.568750649718849,0.499766639157577,1.1380324438573
103,0.465208146293059,0.499766639157577,0.930850740812209
104,0.873216935217124,0.499974071017509,1.74652444163758
105,0.702623446581298,0.499766639157577,1.40590305860684
106,0.617360960166328,0.499766639157577,1.23529846091162
107,0.702441525303596,0.499766639157577,1.40553904615893
108,0.708675282332373,0.499985414947349,1.41739191013602
109,0.622437272598403,0.499766639157577,1.24545582643852
110,0.835462127297642,0.499985414947349,1.67097299705357
111,0.684002268109436,0.499766639157577,1.36864331173128
112,0.715999149458961,0.499974071017509,1.43207256328676
113,0.760665784624108,0.499766639157577,1.5220419392265
114,0.730916694230497,0.499766639157577,1.4625159763816
115,0.692149978736474,0.499766639157577,1.38494634196309
116,0.611351887728583,0.499766639157577,1.22327470428818
117,0.691750696971129,0.499766639157577,1.38414740555145
118,0.729412181637764,0.499974071017509,1.45890001886162
119,0.690092141945849,0.499941659789394,1.38034534316776
120,0.606515616878514,0.499766639157577,1.21359764609514
121,0.60691489864386,0.499766639157577,1.21439658250678
122,0.688023909653641,0.499974071017509,1.37611918204764
123,0.668479894154893,0.499766639157577,1.33758406779953
124,0.718809242545953,0.499766639157577,1.43828976611484
125,0.589412181637764,0.499766639157577,1.17937480307068
126,0.725434957236687,0.499766639157577,1.45154738311365
127,0.768571799839342,0.499985414947349,1.53718843962734
128,0.696586967821197,0.499766639157577,1.39382446374449
129,0.548291357558002,0.499766639157577,1.09709475302757
130,0.657252752445305,0.499974071017509,1.31457367600627
131,0.694139299721212,0.499941659789394,1.38844060327684
132,0.620372347965789,0.499941659789394,1.24088948343918
133,0.545204366110665,0.499941659789394,1.0905359764184
134,0.655748712375372,0.499766639157577,1.31210981485424
135,0.701445919765629,0.499766639157577,1.40354690530766
136,0.585771393469735,0.499941659789394,1.17167949899694
137,0.716398431224307,0.499974071017509,1.43287116823148
138,0.684401549874781,0.499766639157577,1.36944224814292
139,0.792448140622785,0.499766639157577,1.58563633210604
140,0.702941454425176,0.499766639157577,1.40653937127552
141,0.6943902093276,0.499941659789394,1.38894248104893
142,0.700644048575344,0.499941659789394,1.40145161911591
143,0.678925955677361,0.499766639157577,1.35848594620437
144,0.708417048622596,0.499766639157577,1.41749567321406
145,0.793098331994519,0.499766639157577,1.58693732204973
146,0.818204177101545,0.499985414947349,1.63645608979955
147,0.762980201294712,0.499941659789394,1.52613847306929
148,0.578794121816378,0.499941659789394,1.15772332727823
149,0.635029060152152,0.499766639157577,1.2706511607549
150,0.799327600056703,0.499941659789394,1.59884175364267
151,0.827445541747389,0.499974071017509,1.65497690722928
152,0.691753532107924,0.499941659789394,1.38366851124056
153,0.77035391957662,0.499766639157577,1.54142725667954
154,0.616782592260077,0.499941659789394,1.23370913422159
155,0.846754713414922,0.499974071017509,1.6935972533369
156,0.645952842224637,0.499766639157577,1.29250892639308
157,0.701919387610452,0.499766639157577,1.4044942831591
158,0.619618674101025,0.499766639157577,1.23981599721317
159,0.730816046874262,0.499766639157577,1.46231458767666
160,0.708796011907575,0.499766639157577,1.41825395368995
161,0.759139535982611,0.499941659789394,1.51845624607961
162,0.619961253130464,0.499974071017509,1.23998680945347
163,0.779355006379058,0.499941659789394,1.55889190492221
164,0.630410149789727,0.499766639157577,1.26140902652559
165,0.811966639890375,0.499766639157577,1.62469155856232
166,0.747055710438029,0.499766639157577,1.49480908068872
167,0.761790861409063,0.499974071017509,1.52366073676326
168,0.684901478996362,0.499766639157577,1.3704425732595
169,0.66526201389217,0.499766639157577,1.33114530216254
170,0.706744790436139,0.499766639157577,1.41414959515395
171,0.632325284694987,0.499941659789394,1.26479814657046
172,0.765631526721164,0.499974071017509,1.53134246574629
173,0.559836507111468,0.499941659789394,1.11980367338722
174,0.653208429806738,0.499766639157577,1.30702687739984
175,0.734605679724047,0.499941659789394,1.46938280765301
176,0.598120776827482,0.499766639157577,1.1968001262263
177,0.69559136228323,0.499766639157577,1.39183232289322
178,0.681159098426499,0.499941659789394,1.36247717126323
179,0.765631526721164,0.499974071017509,1.53134246574629
180,0.789040306194774,0.499766639157577,1.57881748074423
181,0.859885176959788,0.499993517754377,1.71979265015633
182,0.620423380428106,0.499766639157577,1.24142616136586
183,0.834435571516326,0.499941659789394,1.66906589034377
184,0.715999149458961,0.499974071017509,1.43207256328676
185,0.668452487832538,0.499766639157577,1.33752922956063
186,0.764127486651231,0.499766639157577,1.52896857609237
187,0.745397155412749,0.499941659789394,1.49096827763214
188,0.722961772905543,0.499941659789394,1.44609227646701
189,0.626894580163493,0.499766639157577,1.25437460415567
190,0.787508387279686,0.499974071017509,1.57509845595995
191,0.648771440722015,0.499766639157577,1.29814875561843
192,0.749492510513632,0.499974071017509,1.49906275937135
193,0.692807494211596,0.499985414947349,1.38565540813736
194,0.690192316779285,0.499974071017509,1.38045622120895
195,0.650571752587062,0.499766639157577,1.30175106062239
196,0.564712942399471,0.499766639157577,1.12995325848754
197,0.687912866795823,0.499941659789394,1.37598628425087
198,0.467647781505458,0.499766639157577,0.935732289561664
199,0.722521854179464,0.499766639157577,1.44571845651276
200,0.819215139630487,0.499766639157577,1.63919532726591
201,0.820582620611444,0.499766639157577,1.64193156628991
202,0.718684024004158,0.499941659789394,1.43753578028867
203,0.74784127959174,0.499985414947349,1.49572618967394
204,0.818782308746397,0.499766639157577,1.63832926128595
205,0.582381042385295,0.499766639157577,1.16530595833082
206,0.600939375324859,0.499766639157577,1.20243995545165
207,0.699750980484808,0.499766639157577,1.40015544387743
208,0.661975145300761,0.499766639157577,1.32456849544141
209,0.707699759013372,0.499766639157577,1.41606042413374
210,0.845921183197089,0.499766639157577,1.69263235461855
211,0.496022303076123,0.499766639157577,0.992507831079391
212,0.682887586826064,0.499766639157577,1.36641290818683
213,0.642517601474271,0.499766639157577,1.28563523679236
214,0.794513065255399,0.499974071017509,1.58910853844574
215,0.809865331002221,0.499766639157577,1.62048697841728
216,0.622836554363748,0.499766639157577,1.24625476285016
217,0.58198176061995,0.499766639157577,1.16450702191918
218,0.670252799697585,0.499766639157577,1.34113153456458
219,0.646358266786372,0.499766639157577,1.29332015413413
220,0.725360771157208,0.499766639157577,1.45139894167386
221,0.695385814865567,0.499941659789394,1.39093392448732
222,0.654513065255399,0.499766639157577,1.30963736666911
223,0.705634834380759,0.499941659789394,1.41143435551663
224,0.75610357699759,0.499941659789394,1.51238361955294
225,0.683483910598686,0.499766639157577,1.36760611262646
226,0.888387752209044,0.499974071017509,1.77686764915842
227,0.651782828521476,0.499941659789394,1.30371777538212
228,0.719080470632708,0.499766639157577,1.43883247558263
229,0.803165430232009,0.499766639157577,1.60708091997867
230,0.682082880498984,0.499766639157577,1.36480274403415
231,0.643641260690828,0.499766639157577,1.28788360458748
232,0.699223645040873,0.499766639157577,1.39910028052194
233,0.854811699664509,0.499766639157577,1.71042169022208
234,0.606197609034636,0.499766639157577,1.21296133342646
235,0.665661295657516,0.499766639157577,1.33194423857418
236,0.742515238860275,0.499974071017509,1.48510749237289
237,0.613791522940982,0.499766639157577,1.22815625303764
238,0.862601001748334,0.499985414947349,1.72525232928879
239,0.628369796342674,0.499766639157577,1.25732641418778
240,0.808190710201767,0.499941659789394,1.61657004247701
241,0.75690828332467,0.499941659789394,1.51399322001596
242,0.805179322402306,0.499766639157577,1.61111058505134
243,0.554121343854841,0.499941659789394,1.10837201302302
244,0.764832963190474,0.499974071017509,1.52974525585686
245,0.749477862306856,0.499941659789394,1.49913064380868
246,0.590647828757738,0.499766639157577,1.18184725125581
247,0.791044275386287,0.499974071017509,1.58217059892009
248,0.790193261824883,0.499941659789394,1.58057094533342
249,0.717065633416812,0.499941659789394,1.43429862140091
250,0.860385106081368,0.499974071017509,1.72085945243196
251,0.577616595000709,0.499941659789394,1.15536799882617
252,0.691596182015782,0.499766639157577,1.38383823134245
253,0.66399990549544,0.499766639157577,1.32861990671226
254,0.729769408873978,0.499941659789394,1.45970913722493
255,0.623459339413127,0.499766639157577,1.24750091455494
256,0.875624911401975,0.499974071017509,1.75134064376573
257,0.663730094977083,0.499974071017509,1.32752903290827
258,0.662970750838728,0.499766639157577,1.32656063629268
259,0.72595709492983,0.499766639157577,1.45259214611349
260,0.760441336294476,0.499766639157577,1.5215928329596
261,0.627773472570052,0.499766639157577,1.25613320974815
262,0.766016160279734,0.499941659789394,1.53221109959595
263,0.615943391768653,0.499766639157577,1.23246200027858
264,0.683078486036951,0.499766639157577,1.36679488488542
265,0.659183953125738,0.499766639157577,1.31898350445496
266,0.662625336672494,0.499766639157577,1.32586948538509
267,0.790062373009498,0.499766639157577,1.58086256886064
268,0.773417284883996,0.499766639157577,1.54755684810754
269,0.765491187449794,0.499766639157577,1.53169725122135
270,0.697426168312621,0.499941659789394,1.39501510757559
271,0.658260171053253,0.499941659789394,1.31667397218018
272,0.670849123470208,0.499766639157577,1.34232473900421
273,0.554121343854841,0.499941659789394,1.10837201302302
274,0.61150640268393,0.499766639157577,1.22358387849718
275,0.657252752445305,0.499974071017509,1.31457367600627
276,0.753932334735151,0.499766639157577,1.50856875121958
277,0.799455653735293,0.499941659789394,1.59909789088605
278,0.59752445305486,0.499766639157577,1.19560692178667
279,0.785504418088173,0.499766639157577,1.57174240243856
280,0.646334640646411,0.499941659789394,1.29282012808992
281,0.82110381325899,0.499941659789394,1.64239926235571
282,0.611351887728583,0.499766639157577,1.22327470428818
283,0.663730094977083,0.499974071017509,1.32752903290827
284,0.649793507536739,0.499766639157577,1.30019384373485
285,0.728830978594717,0.499974071017509,1.45773755249239
286,0.57191466238246,0.499766639157577,1.14436342399024
287,0.822226527429949,0.499941659789394,1.64464495272572
288,0.632718896186741,0.499974071017509,1.26550341880546
289,0.61698199688135,0.499766639157577,1.23454018043572
290,0.741383074233332,0.499766639157577,1.48345851072219
291,0.678892406558616,0.499766639157577,1.35841881663606
292,0.666412134385484,0.499766639157577,1.33344661722281
293,0.701663280253272,0.499766639157577,1.4039818292714
294,0.725589472192033,0.499766639157577,1.45185655732265
295,0.637069413599206,0.499766639157577,1.27473377309272
296,0.708488872088078,0.499941659789394,1.41714309702963
297,0.769552048386335,0.499941659789394,1.53928370104327
298,0.818279544488022,0.499974071017509,1.63664396200131
299,0.687594858951944,0.499941659789394,1.37535019434388
300,0.546251004110948,0.499766639157577,1.09301214068976
301,0.736988612200539,0.499766639157577,1.47466548275978
302,0.702941454425176,0.499766639157577,1.40653937127552
303,0.685273354439352,0.499766639157577,1.37118667143223
304,0.770598686386618,0.499766639157577,1.54191701888218
305,0.687412937674243,0.499941659789394,1.37498630933022
306,0.831918915087653,0.499766639157577,1.6646147419723
307,0.599761848509191,0.499766639157577,1.20008380215248
308,0.675856447573595,0.499766639157577,1.35234406344697
309,0.63362803005245,0.499766639157577,1.26784779216259
310,0.77736592165572,0.499985414947349,1.55477719632598
311,0.779744365165619,0.499766639157577,1.56021691739965
312,0.772990596796295,0.499766639157577,1.54670307345699
313,0.808190710201767,0.499941659789394,1.61657004247701
314,0.806078533289231,0.499766639157577,1.61290984657956
315,0.68484761139725,0.499766639157577,1.37033478775544
316,0.706485847942163,0.499974071017509,1.41304497352108
317,0.717712989651751,0.499766639157577,1.43609623655863
318,0.736863393658744,0.499941659789394,1.47389876244591
319,0.623060057647781,0.499766639157577,1.2467019781433
320,0.592645182630062,0.499766639157577,1.18584382428776
321,0.72697538156216,0.499766639157577,1.45462967033489
322,0.78743301989321,0.499985414947349,1.57491198013472
323,0.762915465671219,0.499766639157577,1.52654340225113
324,0.724910456929547,0.499941659789394,1.44999009931463
325,0.58198176061995,0.499766639157577,1.16450702191918
326,0.697979965033313,0.499941659789394,1.39612283026652
327,0.699405566318575,0.499766639157577,1.39946429296985
328,0.736660681377877,0.499974071017509,1.47339777016572
329,0.718058403817984,0.499766639157577,1.43678738746621
330,0.749492510513632,0.499974071017509,1.49906275937135
331,0.747452157066579,0.499974071017509,1.49498184084911
332,0.783302461843784,0.499766639157577,1.56733643358857
333,0.623060057647781,0.499766639157577,1.2467019781433
334,0.769982044133629,0.499766639157577,1.54068315850681
335,0.786224542834192,0.499941659789394,1.57263258110036
336,0.701663280253272,0.499766639157577,1.4039818292714
337,0.740021736048765,0.499974071017509,1.48012022812049
338,0.76028682133913,0.499766639157577,1.5212836587506
339,0.705098521003638,0.499766639157577,1.41085551887212
340,0.572540282568634,0.499941659789394,1.14521418921124
341,0.734206397958702,0.499941659789394,1.46858415093472
342,0.625991352832774,0.499985414947349,1.25201922719825
343,0.573826962150924,0.499766639157577,1.14818980938421
344,0.62665264849029,0.499941659789394,1.25345155023543
345,0.682553985729811,0.499941659789394,1.36526727141992
346,0.622836554363748,0.499766639157577,1.24625476285016
347,0.704881160515995,0.499766639157577,1.41042059490839
348,0.590008505410386,0.499766639157577,1.18056800751031
349,0.734221046165477,0.499974071017509,1.46851824669877
350,0.819744365165619,0.499941659789394,1.63968004889
351,0.61921939233568,0.499766639157577,1.23901706080153
352,0.670652081462931,0.499766639157577,1.34193047097622
353,0.615943391768653,0.499766639157577,1.23246200027858
354,0.678546992392383,0.499766639157577,1.35772766572848
355,0.701187355289893,0.499990665566303,1.40240089181607
356,0.699100789113075,0.499766639157577,1.39885445393374
357,0.747055710438029,0.499766639157577,1.49480908068872
358,0.619746727779615,0.499766639157577,1.24007222415702
359,0.669033690875585,0.499766639157577,1.33869217842017
360,0.687912866795823,0.499941659789394,1.37598628425087
361,0.835457638331049,0.499941659789394,1.67111026251142
362,0.759968813495251,0.499766639157577,1.52064734608192
363,0.60942068704815,0.499974071017509,1.21890458400754
364,0.686677219675849,0.499941659789394,1.37351470162562
365,0.703529745310211,0.499941659789394,1.40722368607285
366,0.564909984406748,0.499766639157577,1.13034752651553
367,0.612742049803903,0.499766639157577,1.22605632668231
368,0.723203704578746,0.499766639157577,1.44708279407726
369,0.862601001748334,0.499985414947349,1.72525232928879
370,0.796291641071682,0.499941659789394,1.59276912711601
371,0.809636629967396,0.499766639157577,1.62002936276848
372,0.568699617256533,0.499941659789394,1.13753196222156
373,0.646358266786372,0.499766639157577,1.29332015413413
374,0.630592071067429,0.499766639157577,1.2617730389735
375,0.727350092141946,0.499941659789394,1.4548699391212
376,0.605279969758541,0.499766639157577,1.21112519791001
377,0.767317960591599,0.499766639157577,1.53535250349046
378,0.646757548551718,0.499766639157577,1.29411909054577
379,0.600038274346737,0.499766639157577,1.20063691197592
380,0.711053725842272,0.499766639157577,1.4227714899915
381,0.516880877002315,0.499766639157577,1.03424445832076
382,0.705452913103057,0.499941659789394,1.41107047050297
383,0.757322685819591,0.499941659789394,1.5148221217224
384,0.764284836743373,0.499941659789394,1.52874804845297
385,0.752656523177243,0.499974071017509,1.5053911128741
386,0.58198176061995,0.499766639157577,1.16450702191918
387,0.727726220290129,0.499766639157577,1.45613204898352
388,0.808995416528848,0.499941659789394,1.61817964294003
389,0.832934839105987,0.499766639157577,1.66664753875931
390,0.581930728157634,0.499941659789394,1.16399727200725
391,0.776183905873458,0.499941659789394,1.55254896381397
392,0.896771724235694,0.499941659789394,1.79375274429714
393,0.645553560459292,0.499766639157577,1.29170998998144
394,0.786096489155602,0.499941659789394,1.57237644385698
395,0.519517554221991,0.499766639157577,1.03952027509821
396,0.835329584652459,0.499941659789394,1.67085412526804
397,0.730665784624108,0.499766639157577,1.46201392284956
398,0.614143079903605,0.499766639157577,1.22885969527463
399,0.818385862117847,0.499941659789394,1.63696272573604
400,0.653708358928318,0.499766639157577,1.30802720251642
401,0.794730425743042,0.499974071017509,1.58954328196594
402,0.558683551481359,0.499766639157577,1.11788884592836
403,0.80761612247791,0.499974071017509,1.615316011957
404,0.744019751453008,0.499766639157577,1.48873432749963
405,0.727598166611539,0.499766639157577,1.45587582203967
406,0.6009148041393,0.499941659789394,1.20196985462752
407,0.80254264518263,0.499766639157577,1.60583476827389
408,0.547892075792657,0.499766639157577,1.09629581661593
409,0.704663800028351,0.499766639157577,1.40998567094465
410,0.637795208618816,0.499974071017509,1.27565657019138
411,0.653183858621179,0.499941659789394,1.30652016256525
412,0.733116287860889,0.499766639157577,1.4669172177972
413,0.768313566129566,0.499766639157577,1.53734464434173
414,0.667216840712564,0.499766639157577,1.3350567813755
415,0.642520436611067,0.499941659789394,1.28519082982949
416,0.638679771298965,0.499941659789394,1.27750860283981
417,0.738943439020933,0.499766639157577,1.47857696197273
418,0.689555828568728,0.499766639157577,1.37975561900463
419,0.707367575485517,0.499766639157577,1.41539574685873
420,0.659690970089307,0.499766639157577,1.31999801187471
421,0.730916694230497,0.499766639157577,1.4625159763816
422,0.833517459717431,0.499974071017509,1.66712137295664
423,0.580056230213108,0.499941659789394,1.16024783863274
424,0.699154656712186,0.499766639157577,1.3989622394378
425,0.629441950574115,0.499766639157577,1.25947172391323
426,0.759944242309691,0.499941659789394,1.52006584654263
427,0.751078297027832,0.499766639157577,1.5028580104784
428,0.636639417851911,0.499941659789394,1.27342741975154
429,0.718838538959505,0.499941659789394,1.43784484626131
430,0.650172470821717,0.499766639157577,1.30095212421075
431,0.783585030477721,0.499766639157577,1.56790183474142
432,0.571190284931248,0.499766639157577,1.14291399260676
433,0.831616973018948,0.499941659789394,1.66342803552174
434,0.731190757454047,0.499941659789394,1.46255216611088
435,0.59752445305486,0.499766639157577,1.19560692178667
436,0.691778103293484,0.499766639157577,1.38420224379036
437,0.602979728771913,0.499766639157577,1.20652256778947
438,0.672448613145584,0.499766639157577,1.34552521208516
439,0.724538581486557,0.499941659789394,1.44924626163736
440,0.669605443462647,0.499941659789394,1.33936716485025
441,0.744022586589803,0.499941659789394,1.48821881917828
442,0.692347020743751,0.499766639157577,1.38534060999108
443,0.724314133156925,0.499941659789394,1.44879731259453
444,0.384963852005859,0.499766639157577,0.770287213757939
445,0.672069649860606,0.499766639157577,1.34476693160926
446,0.67951802674479,0.499941659789394,1.35919464489326
447,0.78697538156216,0.499941659789394,1.5741344337931
448,0.750997968151963,0.499766639157577,1.50269727770919
449,0.655508670793366,0.499766639157577,1.31162950752038
450,0.895282332372537,0.499766639157577,1.7914007503215
451,0.718212918773331,0.499766639157577,1.43709656167521
452,0.782562963662997,0.499766639157577,1.56585674662501
453,0.735760289183953,0.499985414947349,1.47156350403028
454,0.675728393895005,0.499766639157577,1.35208783650312
455,0.730916694230497,0.499766639157577,1.4625159763816
456,0.69478665595615,0.499766639157577,1.39022215874054
457,0.627374190804706,0.499766639157577,1.25533427333651
458,0.546605396210367,0.499941659789394,1.09333836360153
459,0.788909417379389,0.499974071017509,1.57790066147603
460,0.542815763360582,0.499766639157577,1.08613845108903
461,0.69900014175684,0.499766639157577,1.3986530652288
462,0.689156546803383,0.499766639157577,1.378956682593
463,0.581612720313755,0.499941659789394,1.16336118210026
464,0.668851769597883,0.499766639157577,1.33832816597227
465,0.764101025374474,0.499766639157577,1.52891562882722
466,0.624454944951094,0.499766639157577,1.24949305540621
467,0.652587534848556,0.499941659789394,1.30532737584515
468,0.752720313755139,0.499766639157577,1.50614357737833
469,0.614542361668951,0.499766639157577,1.22965863168627
470,0.608315928743562,0.499766639157577,1.2171999510991
471,0.732311581533809,0.499766639157577,1.46530705364451
472,0.764127486651231,0.499766639157577,1.52896857609237
473,0.70498180787223,0.499766639157577,1.41062198361333
474,0.692556348343808,0.499766639157577,1.38575946067789
475,0.70445730756509,0.499941659789394,1.40907902706458
476,0.760186173982895,0.499766639157577,1.52108227004565
477,0.738347115248311,0.499766639157577,1.4773837575331
478,0.708296082785994,0.499766639157577,1.41725362857337
479,0.799324764919907,0.499766639157577,1.5993960026369
480,0.799324764919907,0.499766639157577,1.5993960026369
481,0.701040495203894,0.499766639157577,1.40273567756661
482,0.717873647403487,0.499974071017509,1.43582175360119
483,0.72608514860842,0.499766639157577,1.45284837305734
484,0.626495298398148,0.499766639157577,1.25357566774403
485,0.645553560459292,0.499766639157577,1.29170998998144
486,0.74082927751264,0.499766639157577,1.48235040010155
487,0.738199924396352,0.499985414947349,1.47644291678806
488,0.628578178897132,0.499766639157577,1.25774337390083
489,0.655697679913056,0.499941659789394,1.31154839184491
490,0.668452487832538,0.499766639157577,1.33752922956063
491,0.571190284931248,0.499766639157577,1.14291399260676
492,0.692374427066106,0.499766639157577,1.38539544822999
493,0.726551528611255,0.499941659789394,1.45327262568461
494,0.530058120304305,0.499766639157577,1.06061125087859
495,0.670380853376175,0.499766639157577,1.34138776150843
496,0.787960119075745,0.499941659789394,1.57610413864626
497,0.798278126919624,0.499941659789394,1.596742562434
498,0.653208429806738,0.499766639157577,1.30702687739984
499,0.73717053347824,0.499766639157577,1.47502949520768
